city_id,city,population,country,lat,lng
128,Gaya,474093.0,India,24.75,85.01
129,Ambattur,466205.0,India,13.1143,80.1548
130,Jalgaon,460468.0,India,21.004,75.568
131,Chhatarpur,459943.0,India,24.55,79.3527
132,Kurnool,457633.0,India,15.83,78.05
133,Udaipur,451100.0,India,24.58,73.68
134,Wapi,450000.0,India,20.372,72.917
135,Mathura,441894.0,India,27.4925,77.6736
136,Sangli,436639.0,India,16.853,74.583
137,Davangere,435125.0,India,14.4666,75.9242
138,Calicut,431560.0,India,11.2588,75.7804
139,Mothihari,426158.0,India,26.65,84.9167
140,Akola,425817.0,India,20.7,77.0
141,Bettiah,414453.0,India,26.8014,84.5028
142,Shorapur,412291.0,India,16.52,76.76
143,Tinnevelly,411298.0,India,8.7136,77.7567
144,Bellary,410445.0,India,15.1,76.9167
145,Bhagalpur,410210.0,India,25.25,87.0
146,Manampizha,409271.0,India,9.2972,76.65
147,Delhi Cantonment,405633.0,India,28.6,77.1333
148,Etawa,402678.0,India,24.18,78.2
149,Sonipat,402000.0,India,28.99,77.022
150,Quilon,397419.0,India,8.8932,76.6141
151,Mulangodi,397419.0,India,9.0,76.6167
152,Munro Turuttu,397419.0,India,9.0,76.6167
153,Karur,394719.0,India,10.9601,78.0766
154,Jalna,393000.0,India,19.841,75.8864
155,Bairia,386745.0,India,25.7583,84.1489
156,Bhatpara,386019.0,India,22.87,88.41
157,Sirur,385414.0,India,18.83,74.38
158,Kakinada,384182.0,India,16.9661,82.255
159,Panihati,377347.0,India,22.69,88.37
160,Rohtak,374292.0,India,28.8909,76.5796
161,Maler Kotla,374000.0,India,30.5167,75.8833
162,Kolga,365253.0,India,22.35,82.68
163,Korba,365253.0,India,22.3458,82.6963
164,Sikar,359293.0,India,27.62,75.15
165,Sasaram,358283.0,India,24.95,84.03
166,Karnal,357334.0,India,29.686,76.989
167,Brahmapur,355823.0,India,19.315,84.7941
168,Ahmadnagar,350859.0,India,19.08,74.73
169,Shahjanpur,346103.0,India,27.88,79.91
170,Āvadi,345996.0,India,13.1147,80.1098
171,Khanapur,345839.0,India,15.6394,74.5083
172,Cuddapah,344893.0,India,14.47,78.82
173,Alamadi,344701.0,India,13.1097,80.0972
174,Rajahmundry,341831.0,India,16.98,81.78
